model,strategy,faith_median,ctx_prec_median,ctx_recall_median,ans_rel_median,ac_median,n_quality,recall5_median,ndcg5_median,n_retrieval,lat_median_ms,n_latency,faith_mean,ctx_prec_mean,ctx_recall_mean,ans_rel_mean,ac_mean,recall5_mean,ndcg5_mean,lat_mean_ms,refusal_rate,model_label
qwen3:1.7b-q4_K_M,naive,1.0,0.6944444444150463,1.0,0.8753606627295327,0.5329909383923834,138,1.0,0.63093,138,1358.2649999999999,138,0.7276570048309179,0.5682367149440827,0.7536231884057971,0.8098054930576144,0.5112730488381225,0.7717391304347826,0.578536152173913,1458.6241304347827,0.25,Qwen3 1.7B
qwen3:1.7b-q4_K_M,hybrid,1.0,0.6999999999708333,1.0,0.8884024709329582,0.5404059246023482,138,1.0,0.63093,138,1378.65,138,0.8745169082125605,0.6242451690453369,0.8043478260869565,0.8253270338350208,0.5215867025589577,0.6739130434782609,0.5572340652173914,1467.2177536231884,0.25,Qwen3 1.7B
qwen3:1.7b-q4_K_M,reranking,1.0,0.9999999999,1.0,0.8825801850197603,0.5686560270357771,138,1.0,0.63093,138,2050.75,138,0.8147342995169082,0.7958635265288313,0.9094202898550725,0.8319299365633295,0.5568713690855731,0.8260869565217391,0.6623102391304349,2149.558768115942,0.25,Qwen3 1.7B
qwen3:1.7b-q4_K_M,hyde,1.0,0.329166666641875,1.0,0.9088888262279944,0.361854257054159,138,1.0,0.5,138,3036.95,138,0.5838509316770186,0.3646739130195803,0.5507246376811594,0.838259011356087,0.44715987339137026,0.5760869565217391,0.3871393695652174,3444.654347826087,0.25,Qwen3 1.7B
qwen3:1.7b-q4_K_M,adaptive,1.0,0.72499999996375,1.0,0.8912641846582136,0.5227564378683129,138,1.0,0.63093,138,2421.26,138,0.7474120082815735,0.5962862318502076,0.7391304347826086,0.8156786283288591,0.4792122160543413,0.6739130434782609,0.5507178260869565,2650.7516666666666,0.25,Qwen3 1.7B
qwen3:4b-instruct-2507-q4_K_M,naive,1.0,0.6944444444150463,1.0,0.797146063558056,0.47083476495811527,138,1.0,0.63093,138,2062.62,138,0.7180555555555556,0.5682367149440827,0.7536231884057971,0.6417320767883202,0.48999614979936545,0.7717391304347826,0.578536152173913,2212.7060869565216,0.8333333333333334,Qwen3 4B
qwen3:4b-instruct-2507-q4_K_M,hybrid,1.0,0.6999999999708333,1.0,0.8330553862160093,0.5339017437068083,138,1.0,0.63093,138,2418.915,138,0.8257073844030366,0.6242451690453369,0.8043478260869565,0.6943008042906116,0.5176003475159019,0.6739130434782609,0.5572340652173914,2806.349782608696,0.75,Qwen3 4B
qwen3:4b-instruct-2507-q4_K_M,reranking,1.0,0.9999999999,1.0,0.8374661869467396,0.5913649655123258,138,1.0,0.63093,138,3077.9049999999997,138,0.853743961352657,0.7958635265288313,0.9094202898550725,0.7607303024378237,0.5838445505621904,0.8260869565217391,0.6623102391304349,3491.744420289855,0.75,Qwen3 4B
qwen3:4b-instruct-2507-q4_K_M,hyde,1.0,0.4333333333116667,1.0,0.725606670278196,0.4454964700597187,138,1.0,0.63093,138,5792.68,138,0.6179779158040027,0.44619565214763585,0.7137681159420289,0.6089652934952009,0.44989636614644546,0.6739130434782609,0.47239,6222.0452173913045,0.75,Qwen3 4B
qwen3:4b-instruct-2507-q4_K_M,adaptive,1.0,0.699999999965,1.0,0.7712489606172857,0.5058307193229803,138,1.0,0.63093,138,3095.605,138,0.8083160800552105,0.6188103864377282,0.7898550724637681,0.6865405188310312,0.507809295010235,0.6521739130434783,0.5478715217391305,3819.343188405797,0.75,Qwen3 4B
qwen3:8b-q4_K_M,naive,1.0,0.6944444444150463,1.0,0.7733348852616061,0.5526647761038539,138,1.0,0.63093,138,3010.73,138,0.7278985507246377,0.5682367149440827,0.7536231884057971,0.6655713713235688,0.5452542494457742,0.7717391304347826,0.578536152173913,3086.7778985507243,0.75,Qwen3 8B
qwen3:8b-q4_K_M,hybrid,1.0,0.6999999999708333,1.0,0.8845876817554614,0.596504428024959,138,1.0,0.63093,138,3160.54,138,0.9119565217391304,0.6242451690453369,0.8043478260869565,0.8011037455184968,0.5940572629073232,0.6739130434782609,0.5572340652173914,3125.4812318840577,0.75,Qwen3 8B
qwen3:8b-q4_K_M,reranking,1.0,0.9999999999,1.0,0.8806492316097332,0.7207537279010392,138,1.0,0.63093,138,3737.99,138,0.9094202898550725,0.7958635265288313,0.9094202898550725,0.8155390571566742,0.6751741024466418,0.8260869565217391,0.6623102391304349,3784.7247101449275,0.75,Qwen3 8B
qwen3:8b-q4_K_M,hyde,1.0,0.3333333333,1.0,0.6483314173921583,0.3995873522192145,138,1.0,0.5,138,5467.54,138,0.6134057971014493,0.41014492751115944,0.5942028985507246,0.5740587187915744,0.45362967300507684,0.6304347826086957,0.42449730434782607,5755.393333333333,0.75,Qwen3 8B
qwen3:8b-q4_K_M,adaptive,1.0,0.6999999999708333,1.0,0.8888523942745449,0.5632515028426044,138,1.0,0.63093,138,4131.895,138,0.894927536231884,0.6144625603516412,0.7463768115942029,0.772845090685267,0.5593954644142787,0.6739130434782609,0.5615873913043479,4148.657463768116,0.75,Qwen3 8B
